Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAnyAllOnePredicateTest.java",1,1,1,1,8,0,4,4,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,80,9,34,23,11,37,,,,16,21,16,5,,,,,,1,1,1,1,,,0,,,1.09,4,4,4,4
File,"AbstractArrayListTest.java",1,1,1,1,7,0,6,0,,,,1,0,0,3,,4,4,0,4,,0,0,0,4,,62,9,28,12,13,25,,,,15,20,10,10,,,,,,2,2,2,1,,,1,,,0.89,4,4,4,3
File,"AbstractAvailableLocalesTest.java",1,1,2,1,7,0,7,0,,,,1,2,0,4,,4,2,2,4,,0,0,0,4,,95,12,49,27,18,34,,,,29,38,25,13,,,,,,4,4,6,1,,,3,,,0.69,7,7,9,4
File,"AbstractBagDecorator.java",1,1,1,1,4,0,3,1,,,,1,0,1,9,,9,9,0,9,,0,0,3,6,,98,15,42,23,10,41,,,,14,24,15,9,,,,,,1,1,2,1,,,0,,,0.98,9,9,10,9
File,"AbstractBagTest.java",1,1,1,1,13,0,11,1,,,,2,0,0,40,,41,41,0,41,,0,0,0,41,,705,79,531,143,366,103,,,,351,423,109,314,,,,,,6,6,6,1,,,3,,,0.19,74,74,78,40
File,"AbstractBidiMapDecorator.java",1,1,1,1,4,0,3,1,,,,1,0,0,7,,7,7,0,7,,0,0,2,5,,90,11,35,20,7,44,,,,12,20,13,7,,,,,,1,1,1,1,,,0,,,1.26,7,7,7,7
File,"AbstractBidiMapTest.java",1,1,1,1,9,0,7,0,,,,4,0,0,51,,52,52,1,52,,0,6,0,46,,609,93,443,134,277,80,,,,242,313,106,207,,,,,,5,5,5,3,,,2,,,0.18,69,69,71,55
File,"AbstractBitwiseTrie.java",1,1,1,1,7,0,4,2,,,,2,1,2,19,,19,18,3,19,,7,0,2,10,,217,32,116,44,49,70,,,,47,78,36,42,,,,,,4,4,5,4,,,1,,,0.60,31,31,32,24
File,"AbstractClosureTest.java",1,1,1,1,4,0,4,0,,,,1,0,0,1,,2,2,0,2,,0,0,1,1,,35,4,12,9,2,19,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,1.58,1,1,1,1
File,"AbstractCollectionDecorator.java",1,1,1,1,4,0,3,1,,,,1,0,1,18,,18,18,1,18,,0,0,4,14,,177,24,80,40,21,73,,,,25,45,25,20,,,,,,2,2,2,1,,,1,,,0.91,19,19,19,18
