Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,5,0,5,0,,,,39,2,0,,34,,78,37,80,,2,0,4,74,,1465,197,665,324,268,603,,,,336,509,292,217,,,,,,9,9,10,1,,,4,,,0.91,122,122,126,79
Public Class,"A",0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,1,0,12,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
Public Class,"A",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,12,0,0,0,0,,6,0,6,3,0,0,,,,0,3,3,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Class,"A",0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,1,0,12,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Class,"A",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,12,0,0,0,0,,4,0,4,2,0,0,,,,0,2,2,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Private Static Class,"A.Inner",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,12,0,0,0,0,,4,0,4,2,0,0,,,,0,2,2,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Private Static Class,"A.Inner",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,12,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
Private Static Class,"A.Inner.Inner2",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,12,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
File,"A.java",1,1,1,1,3,0,3,0,,,,1,2,1,3,,3,1,0,3,,0,0,1,2,,40,6,17,7,6,17,,,,7,11,6,5,,,,,,1,1,1,1,,,0,,,1.00,3,3,3,3
File,"A.java",0,0,0,0,0,0,0,0,,,,3,0,0,0,,0,0,0,0,,0,0,0,0,,23,3,6,3,0,14,,,,0,3,3,0,,,,,,0,0,0,0,,,0,,,2.33,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,2,0,0,0,,0,0,1,0,,0,0,0,0,,22,3,5,3,1,14,,,,1,3,3,0,,,,,,0,0,0,0,,,0,,,2.80,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,2,0,0,0,,0,0,0,0,,0,0,0,0,,21,3,4,2,0,14,,,,0,2,2,0,,,,,,0,0,0,0,,,0,,,3.50,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,20,3,3,2,1,14,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,4.67,0,0,0,0
File,"ANTLR.java",2,2,2,1,13,0,8,4,,,,1,0,1,24,,24,24,13,24,,0,4,2,18,,434,46,244,79,130,144,,,,111,162,72,90,,,,,,10,10,10,4,,,3,,,0.59,51,51,55,27
File,"ANTLRTest.java",1,1,1,1,6,0,3,2,,,,2,0,0,18,,18,18,1,18,,0,0,0,18,,204,30,103,53,32,71,,,,45,65,35,30,,,,,,1,1,1,1,,,0,,,0.69,18,18,18,18
Class,"APrivate",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,12,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
File,"AbstractAccessTask.java",1,1,1,1,9,0,4,5,,,,1,0,0,6,,6,6,0,6,,0,0,1,5,,114,12,40,19,15,62,,,,16,23,15,8,,,,,,2,2,3,1,,,0,,,1.55,7,7,8,6
File,"AbstractAnalyzer.java",1,1,1,1,13,0,6,7,,,,1,0,1,14,,16,16,7,16,,0,1,5,10,,291,27,119,49,52,145,,,,50,79,39,40,,,,,,6,6,6,6,,,4,,,1.22,26,26,26,19
File,"AbstractClasspathResource.java",1,1,2,1,11,0,8,3,,,,3,0,0,19,,20,20,5,20,,1,0,5,14,,283,25,163,41,88,95,,,,70,109,42,67,,,,,,6,6,7,3,,,3,,,0.58,37,37,40,21
File,"AbstractCvsTask.java",1,1,2,1,13,0,7,5,,,,2,0,3,47,,47,46,23,46,,0,2,9,35,,849,112,391,117,221,346,,,,177,270,115,155,,,,,,18,18,20,1,,,3,,,0.88,93,93,104,47
File,"AbstractCvsTaskTest.java",1,1,1,1,4,0,4,0,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,73,10,44,26,15,19,,,,26,32,20,12,,,,,,1,1,1,1,,,0,,,0.43,5,5,5,5
File,"AbstractFileSet.java",1,1,1,1,10,0,5,4,,,,1,0,0,76,,76,72,11,72,,0,1,3,68,,997,82,532,161,260,383,,,,238,367,133,234,,,,,,7,7,10,4,,,3,,,0.72,130,130,138,81
File,"AbstractFileSetTest.java",1,1,1,1,6,0,6,0,,,,1,0,0,22,,23,23,3,23,,0,0,2,21,,245,32,185,65,105,31,,,,117,140,43,97,,,,,,1,1,1,1,,,0,,,0.17,22,22,22,22
File,"AbstractHotDeploymentTool.java",1,1,1,1,8,0,3,4,,,,1,0,0,12,,13,13,5,13,,0,0,2,11,,188,22,60,24,19,106,,,,24,41,22,19,,,,,,4,4,4,1,,,1,,,1.77,16,16,16,12
File,"AbstractJUnit3TestMissed.java",1,1,1,1,2,0,2,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,4,6,4,0,17,,,,2,4,4,0,,,,,,1,1,1,1,,,0,,,2.83,1,1,1,1
File,"AbstractJUnit3TestNotMissed.java",1,1,1,1,2,0,2,0,,,,2,0,0,1,,1,1,0,1,,0,0,0,1,,31,6,8,5,0,17,,,,2,5,5,0,,,,,,1,1,1,1,,,0,,,2.13,1,1,1,1
File,"AbstractJUnitResultFormatter.java",1,1,1,1,8,0,5,2,,,,3,2,2,24,,24,21,8,23,,8,7,1,7,,305,30,180,66,82,96,,,,86,127,62,65,,,,,,4,4,4,4,,,2,,,0.53,41,41,46,31
File,"AbstractJarSignerTask.java",1,1,1,1,11,0,5,5,,,,1,0,2,30,,30,30,18,30,,0,1,11,18,,504,48,207,76,99,249,,,,106,158,77,81,,,,,,8,8,8,1,,,2,,,1.20,49,49,50,30
File,"AbstractResourceCollectionWrapper.java",2,2,2,1,12,0,8,3,,,,1,0,1,11,,13,13,2,13,,0,2,4,7,,211,19,113,34,53,79,,,,47,77,29,48,,,,,,6,6,6,5,,,2,,,0.70,28,28,29,17
File,"AbstractScriptComponent.java",1,1,1,1,8,0,3,5,,,,1,0,0,13,,13,13,2,13,,0,0,2,11,,169,16,58,25,20,95,,,,27,42,24,18,,,,,,2,2,2,1,,,1,,,1.64,14,14,14,13
File,"AbstractSelectorContainer.java",1,1,1,1,8,0,4,3,,,,1,0,0,37,,37,37,1,37,,0,2,1,34,,394,46,177,56,73,171,,,,69,120,53,67,,,,,,5,5,5,3,,,3,,,0.97,49,49,49,39
File,"AbstractSshMessage.java",1,1,1,1,11,0,6,4,,,,2,0,1,19,,20,19,8,19,,0,0,10,9,,293,35,150,60,75,108,,,,67,99,50,49,,,,,,7,7,7,1,,,4,,,0.72,31,31,32,19
File,"AbstractTestMissed.java",1,1,1,1,2,0,2,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,5,0,17,,,,2,4,4,0,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"AbstractTestNotMissed.java",1,1,1,1,2,0,2,0,,,,2,0,0,1,,1,1,0,1,,0,0,0,1,,32,6,9,6,0,17,,,,2,5,5,0,,,,,,1,1,1,1,,,0,,,1.89,1,1,1,1
File,"AbstractUnicodeExtraField.java",1,1,1,1,10,0,6,3,,,,1,0,0,13,,13,13,3,13,,0,1,3,9,,178,24,94,27,49,60,,,,44,66,25,41,,,,,,3,3,3,1,,,1,,,0.64,21,21,21,13
File,"AbstractXSLTLiaisonTest.java",1,1,1,1,9,0,7,2,,,,1,0,1,5,,6,6,2,6,,0,0,2,4,,110,15,59,38,26,36,,,,40,47,34,13,,,,,,2,2,2,1,,,1,,,0.61,6,6,6,5
File,"AddTypeTest.java",1,1,1,1,3,0,3,0,,,,14,0,0,30,,30,30,6,30,,0,0,0,30,,220,31,171,80,50,18,,,,63,107,62,45,,,,,,1,1,1,1,,,0,,,0.11,30,30,30,30
