Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAnnotation.java",1,1,1,1,12,0,4,7,,,,1,0,0,11,,11,11,2,11,,0,2,3,6,,225,21,68,33,23,136,,,,32,48,29,19,,,,,,3,3,3,1,,,2,,,2.00,15,15,15,11
File,"AbstractBlock.java",1,1,1,1,13,0,5,7,,,,1,0,1,39,,39,39,7,39,,0,4,10,25,,664,52,254,89,127,358,,,,127,185,83,102,,,,,,10,10,10,10,,,1,,,1.41,57,57,57,48
File,"AbstractBlockTest.java",1,1,1,1,28,3,22,3,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,153,21,81,24,58,51,,,,66,71,21,50,,,,,,2,2,2,1,,,1,,,0.63,4,4,4,3
File,"AbstractCategoryItemLabelGenerator.java",1,1,1,1,16,0,8,7,,,,1,0,1,13,,13,13,5,13,,0,0,5,8,,325,27,135,51,67,163,,,,72,97,40,57,,,,,,6,6,6,6,,,2,,,1.21,24,24,24,18
File,"AbstractCategoryItemRenderer.java",3,3,3,1,26,0,15,10,,,,1,0,1,57,,57,57,15,57,,0,0,11,46,,1856,138,995,353,597,724,,,,451,624,263,361,,,,,,19,19,20,15,,,4,,,0.73,172,172,174,81
File,"AbstractCategoryItemRendererTest.java",1,1,1,1,24,2,18,3,,,,1,0,0,11,,11,11,0,11,,0,0,0,11,,370,50,233,75,173,87,,,,173,185,58,127,,,,,,1,1,1,1,,,0,,,0.37,11,11,11,11
File,"AbstractDataset.java",1,1,1,1,13,0,4,8,,,,1,0,1,14,,14,14,3,14,,0,2,3,9,,304,23,87,42,30,195,,,,42,61,35,26,,,,,,3,3,3,1,,,2,,,2.24,18,18,18,14
File,"AbstractDialLayer.java",1,1,1,1,12,0,5,7,,,,1,0,0,11,,11,11,2,11,,0,1,2,8,,220,19,74,35,28,127,,,,35,51,28,23,,,,,,3,3,3,3,,,2,,,1.72,15,15,15,13
File,"AbstractDialLayerTest.java",1,1,1,1,15,1,9,4,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,107,11,40,21,23,56,,,,29,33,18,15,,,,,,1,1,1,1,,,0,,,1.40,3,3,3,3
File,"AbstractIntervalXYDataset.java",2,2,2,1,17,0,8,9,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,130,8,40,19,20,82,,,,17,26,14,12,,,,,,2,2,2,1,,,1,,,2.05,8,8,8,4
