Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractBinaryProjectsImportJob.java",3,3,3,1,12,1,11,0,,,,1,0,0,2,,3,3,0,3,,0,0,2,1,,56,9,37,17,14,10,,,,19,27,17,10,,,,,,5,5,5,1,,,3,,,0.27,6,6,6,2
File,"AbstractBuildParticipant.java",1,1,1,1,3,0,2,0,,,,1,0,4,6,,7,7,0,7,,0,0,4,3,,109,19,36,24,9,54,,,,21,28,23,5,,,,,,1,1,1,1,,,0,,,1.50,6,6,6,6
File,"AbstractBuildParticipant2.java",1,1,1,1,7,0,3,4,,,,1,0,1,1,,2,2,0,2,,0,0,1,1,,59,9,14,11,2,36,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,2.57,1,1,1,1
File,"AbstractClassifierClasspathProvider.java",1,1,1,1,6,0,4,2,,,,1,0,2,12,,12,12,2,12,,0,0,6,6,,144,23,82,52,22,41,,,,37,53,38,15,,,,,,3,3,3,1,,,2,,,0.50,14,14,14,12
File,"AbstractCreateMavenProjectJob.java",1,1,1,1,8,0,6,1,,,,2,1,0,6,,7,6,2,7,,0,0,3,4,,93,14,58,30,21,21,,,,33,42,27,15,,,,,,4,4,4,1,,,2,,,0.36,9,9,9,6
File,"AbstractCreateMavenProjectsOperation.java",1,1,1,1,8,0,6,1,,,,1,2,0,6,,7,5,2,7,,0,0,2,5,,102,16,64,32,22,22,,,,34,48,31,17,,,,,,3,3,3,1,,,3,,,0.34,11,11,11,6
File,"AbstractCustomizableLifecycleMapping.java",7,5,7,6,27,1,25,1,,,,1,1,1,5,,5,4,0,5,,0,2,0,3,,188,23,148,47,93,20,,,,73,105,45,60,,,,,,20,17,24,18,,,6,,,0.14,35,29,39,30
File,"AbstractEclipseBuildContext.java",1,1,1,1,5,0,4,0,,,,1,0,0,14,,15,15,2,15,,0,0,4,11,,141,26,90,49,29,25,,,,40,58,37,21,,,,,,3,3,7,3,,,1,,,0.28,17,17,23,16
File,"AbstractIndexedRepositoryNode.java",1,1,1,1,5,0,5,0,,,,1,0,2,8,,8,8,1,8,,0,0,1,7,,89,19,55,23,23,15,,,,30,43,24,19,,,,,,5,5,5,4,,,2,,,0.27,12,12,14,11
File,"AbstractJavaProjectConfigurator.java",1,1,1,1,6,1,5,0,,,,1,0,0,6,,6,6,0,6,,0,0,3,3,,79,19,48,29,14,12,,,,22,34,26,8,,,,,,4,4,4,1,,,3,,,0.25,9,9,9,6
